biologicalSystem	effect	efoId	ensemblId	pmid	ref	symptom	target	uberonCode	url
central nervous system	activation_general	GO_0035812	ENSG00000184845	23197038	Bowes et al. (2012)	natriuresis	DRD1	UBERON_0001017	""
central nervous system	activation_general	EFO_0003890	ENSG00000184845	23197038	Bowes et al. (2012)	abuse potential	DRD1	UBERON_0001017	""
nervous system	activation_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	convulsions	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	GO_1904057	ENSG00000177098	28216264	Lynch et al. (2017)	decreased pain	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	NCIT_C74532	ENSG00000177098	28216264	Lynch et al. (2017)	agitation	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_1000712	ENSG00000177098	28216264	Lynch et al. (2017)	decreased sweating	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0011499	ENSG00000177098	28216264	Lynch et al. (2017)	increased pupil diameter	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased convulsions	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0031860	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased heart rate	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0005251	ENSG00000177098	28216264	Lynch et al. (2017)	decreased blood pressure	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	GO_0045822	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac contractility	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_1001497	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac conduction	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0006677	ENSG00000177098	28216264	Lynch et al. (2017)	increased QRS complex	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0009839	ENSG00000177098	28216264	Lynch et al. (2017)	decreased respiratory rate	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0030897	ENSG00000177098	28216264	Lynch et al. (2017)	decreased gastrointestinal transit	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0011037	ENSG00000177098	28216264	Lynch et al. (2017)	decreased urine excretion	SCN4B	UBERON_0001016	""
nervous system	inhibition_acute	HP_0001259	ENSG00000177098	28216264	Lynch et al. (2017)	coma	SCN4B	UBERON_0001016	""
cardiovascular	activation_acute	HP_0002094	ENSG00000177098	28216264	Lynch et al. (2017)	dyspnea	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_1904057	ENSG00000177098	28216264	Lynch et al. (2017)	decreased pain	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	NCIT_C74532	ENSG00000177098	28216264	Lynch et al. (2017)	agitation	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_1000712	ENSG00000177098	28216264	Lynch et al. (2017)	decreased sweating	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0011499	ENSG00000177098	28216264	Lynch et al. (2017)	increased pupil diameter	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased convulsions	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0031860	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased heart rate	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0005251	ENSG00000177098	28216264	Lynch et al. (2017)	decreased blood pressure	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_0045822	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac contractility	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_1001497	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac conduction	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0006677	ENSG00000177098	28216264	Lynch et al. (2017)	increased QRS complex	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0009839	ENSG00000177098	28216264	Lynch et al. (2017)	decreased respiratory rate	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0030897	ENSG00000177098	28216264	Lynch et al. (2017)	decreased gastrointestinal transit	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0011037	ENSG00000177098	28216264	Lynch et al. (2017)	decreased urine excretion	SCN4B	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0001259	ENSG00000177098	28216264	Lynch et al. (2017)	coma	SCN4B	UBERON_0004535	""
cardiovascular	activation_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	convulsions	SCN4B	UBERON_0004535	""
respiratory	activation_acute	HP_0002094	ENSG00000177098	28216264	Lynch et al. (2017)	dyspnea	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	GO_1904057	ENSG00000177098	28216264	Lynch et al. (2017)	decreased pain	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	NCIT_C74532	ENSG00000177098	28216264	Lynch et al. (2017)	agitation	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_1000712	ENSG00000177098	28216264	Lynch et al. (2017)	decreased sweating	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0011499	ENSG00000177098	28216264	Lynch et al. (2017)	increased pupil diameter	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased convulsions	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0031860	ENSG00000177098	28216264	Lynch et al. (2017)	decreased/increased heart rate	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0005251	ENSG00000177098	28216264	Lynch et al. (2017)	decreased blood pressure	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	GO_0045822	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac contractility	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_1001497	ENSG00000177098	28216264	Lynch et al. (2017)	decreased cardiac conduction	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0006677	ENSG00000177098	28216264	Lynch et al. (2017)	increased QRS complex	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0009839	ENSG00000177098	28216264	Lynch et al. (2017)	decreased respiratory rate	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0030897	ENSG00000177098	28216264	Lynch et al. (2017)	decreased gastrointestinal transit	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0011037	ENSG00000177098	28216264	Lynch et al. (2017)	decreased urine excretion	SCN4B	UBERON_0001004	""
respiratory	inhibition_acute	HP_0001259	ENSG00000177098	28216264	Lynch et al. (2017)	coma	SCN4B	UBERON_0001004	""
cardiovascular	activation_acute	GO_0040013	ENSG00000177098	28216264	Lynch et al. (2017)	decreased locomotor activity	SCN4B	UBERON_0004535	""
nervous system	activation_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0001016	""
nervous system	activation_acute	HP_0001649	ENSG00000177098	28216264	Lynch et al. (2017)	increased heart rate	SCN4B	UBERON_0001016	""
respiratory	activation_acute	HP_0001649	ENSG00000177098	28216264	Lynch et al. (2017)	increased heart rate	SCN4B	UBERON_0001004	""
nervous system	activation_acute	HP_0002094	ENSG00000177098	28216264	Lynch et al. (2017)	dyspnea	SCN4B	UBERON_0001016	""
respiratory	activation_acute	GO_0040013	ENSG00000177098	28216264	Lynch et al. (2017)	decreased locomotor activity	SCN4B	UBERON_0001004	""
nervous system	activation_acute	GO_0040013	ENSG00000177098	28216264	Lynch et al. (2017)	decreased locomotor activity	SCN4B	UBERON_0001016	""
cardiovascular	activation_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0004535	""
cardiovascular	activation_acute	HP_0001649	ENSG00000177098	28216264	Lynch et al. (2017)	increased heart rate	SCN4B	UBERON_0004535	""
respiratory	activation_acute	EFO_0004269	ENSG00000177098	28216264	Lynch et al. (2017)	cardiac arrhythmia	SCN4B	UBERON_0001004	""
respiratory	activation_acute	EFO_0009853	ENSG00000177098	28216264	Lynch et al. (2017)	convulsions	SCN4B	UBERON_0001004	""
cardiovascular system	inhibition_general	""	ENSG00000112759	""	HeCaToS	peripheral and central vasodilation	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	GO_0090331	ENSG00000112759	""	HeCaToS	inhibition of platelet aggregation	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0009843	ENSG00000112759	""	HeCaToS	promotion of sleep	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0003913	ENSG00000112759	""	HeCaToS	angina pectoris	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0009847	ENSG00000112759	""	HeCaToS	dizziness	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0005251	ENSG00000112759	""	HeCaToS	hypotension	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	""	ENSG00000112759	""	HeCaToS	rare (0.1%) serious side effects have been observed with the ENT1 inhibitor dipyridamole when given IV for 4 min: cardiac death, fatal and nonfatal myocardial infarction, ventricular fibrillation, symptomatic ventricular tachycardia, stroke, transient cerebral ischemia, seizures, anaphylactoid reaction, and bronchospasm (from the drug label)	SLC29A1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
blood	activation_acute	HP_0003074	ENSG00000169252	28216264	Lynch et al. (2017)	increased blood glucose	ADRB2	UBERON_0000178	""
blood	inhibition_acute	HP_0032263	ENSG00000169252	28216264	Lynch et al. (2017)	increased blood pressure	ADRB2	UBERON_0000178	""
cardiovascular	activation_acute	EFO_0003144	ENSG00000169252	28216264	Lynch et al. (2017)	heart failure	ADRB2	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0032263	ENSG00000169252	28216264	Lynch et al. (2017)	increased blood pressure	ADRB2	UBERON_0004535	""
cardiovascular	activation_acute	HP_0002900	ENSG00000169252	28216264	Lynch et al. (2017)	decreased blood potassium	ADRB2	UBERON_0004535	""
blood	activation_acute	HP_0005184	ENSG00000169252	28216264	Lynch et al. (2017)	increased QTc interval	ADRB2	UBERON_0000178	""
blood	activation_acute	HP_0025428	ENSG00000169252	28216264	Lynch et al. (2017)	bronchospasm	ADRB2	UBERON_0000178	""
blood	activation_acute	HP_0001649	ENSG00000169252	28216264	Lynch et al. (2017)	increased heart rate	ADRB2	UBERON_0000178	""
cardiovascular	activation_acute	HP_0003074	ENSG00000169252	28216264	Lynch et al. (2017)	increased blood glucose	ADRB2	UBERON_0004535	""
cardiovascular	activation_acute	HP_0001649	ENSG00000169252	28216264	Lynch et al. (2017)	increased heart rate	ADRB2	UBERON_0004535	""
cardiovascular	activation_acute	HP_0025428	ENSG00000169252	28216264	Lynch et al. (2017)	bronchospasm	ADRB2	UBERON_0004535	""
blood	activation_acute	EFO_0003144	ENSG00000169252	28216264	Lynch et al. (2017)	heart failure	ADRB2	UBERON_0000178	""
cardiovascular	activation_acute	HP_0005184	ENSG00000169252	28216264	Lynch et al. (2017)	increased QTc interval	ADRB2	UBERON_0004535	""
cardiovascular	activation_acute	GO_0045823	ENSG00000169252	28216264	Lynch et al. (2017)	increased cardiac contractility	ADRB2	UBERON_0004535	""
blood	activation_acute	GO_0045823	ENSG00000169252	28216264	Lynch et al. (2017)	increased cardiac contractility	ADRB2	UBERON_0000178	""
blood	activation_acute	HP_0002900	ENSG00000169252	28216264	Lynch et al. (2017)	decreased blood potassium	ADRB2	UBERON_0000178	""
cardiovascular system	activation_general	EFO_0005251	ENSG00000168398	""	Urban et al. (2012)	arteriolar dilation/hypotension	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	EFO_0000318	ENSG00000168398	""	Urban et al. (2012)	cardiomyopathy	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	EFO_0000537	ENSG00000168398	""	Urban et al. (2012)	hypertension	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	EFO_0004269	ENSG00000168398	""	Urban et al. (2012)	arrhythmia	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	GO_0006939	ENSG00000168398	""	Urban et al. (2012)	smooth-muscle contraction	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	HP_0012735	ENSG00000168398	""	Urban et al. (2012)	cough	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	EFO_0003843	ENSG00000168398	""	Urban et al. (2012)	nociception	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	""	ENSG00000168398	""	Urban et al. (2012)	angiogenesis	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	""	ENSG00000168398	""	Urban et al. (2012)	acute allergic inflammation	BDKRB2	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
respiratory	activation_acute	GO_0090331	ENSG00000136160	28216264	Lynch et al. (2017)	decreased platelet aggregation	EDNRB	UBERON_0001004	""
respiratory	inhibition_acute	HP_0032263	ENSG00000136160	28216264	Lynch et al. (2017)	increased blood pressure	EDNRB	UBERON_0001004	""
respiratory	inhibition_developmental toxicity	EFO_0005269	ENSG00000136160	28216264	Lynch et al. (2017)	cardiovascular malformations	EDNRB	UBERON_0001004	""
respiratory	inhibition_developmental toxicity	HP_0000234	ENSG00000136160	28216264	Lynch et al. (2017)	craniofacial abnormalities	EDNRB	UBERON_0001004	""
respiratory	inhibition_acute	HP_0011037	ENSG00000136160	28216264	Lynch et al. (2017)	decreased urine excretion	EDNRB	UBERON_0001004	""
respiratory	inhibition_acute	GO_0120061	ENSG00000136160	28216264	Lynch et al. (2017)	decreased gastric emptying	EDNRB	UBERON_0001004	""
respiratory	inhibition_acute	HP_0030897	ENSG00000136160	28216264	Lynch et al. (2017)	decreased intestinal transit	EDNRB	UBERON_0001004	""
respiratory	inhibition_acute	GO_1904057	ENSG00000136160	28216264	Lynch et al. (2017)	decreased pain	EDNRB	UBERON_0001004	""
cardiovascular	activation_acute	EFO_0009836	ENSG00000136160	28216264	Lynch et al. (2017)	bronchoconstriction	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0032263	ENSG00000136160	28216264	Lynch et al. (2017)	increased blood pressure	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_developmental toxicity	EFO_0005269	ENSG00000136160	28216264	Lynch et al. (2017)	cardiovascular malformations	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_developmental toxicity	HP_0000234	ENSG00000136160	28216264	Lynch et al. (2017)	craniofacial abnormalities	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0011037	ENSG00000136160	28216264	Lynch et al. (2017)	decreased urine excretion	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_0120061	ENSG00000136160	28216264	Lynch et al. (2017)	decreased gastric emptying	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0030897	ENSG00000136160	28216264	Lynch et al. (2017)	decreased intestinal transit	EDNRB	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_1904057	ENSG00000136160	28216264	Lynch et al. (2017)	decreased pain	EDNRB	UBERON_0004535	""
renal	activation_acute	EFO_0003896	ENSG00000136160	28216264	Lynch et al. (2017)	left ventricular hypertrophy	EDNRB	UBERON_0001008	""
renal	inhibition_acute	HP_0032263	ENSG00000136160	28216264	Lynch et al. (2017)	increased blood pressure	EDNRB	UBERON_0001008	""
renal	inhibition_developmental toxicity	EFO_0005269	ENSG00000136160	28216264	Lynch et al. (2017)	cardiovascular malformations	EDNRB	UBERON_0001008	""
renal	inhibition_developmental toxicity	HP_0000234	ENSG00000136160	28216264	Lynch et al. (2017)	craniofacial abnormalities	EDNRB	UBERON_0001008	""
renal	inhibition_acute	HP_0011037	ENSG00000136160	28216264	Lynch et al. (2017)	decreased urine excretion	EDNRB	UBERON_0001008	""
renal	inhibition_acute	GO_0120061	ENSG00000136160	28216264	Lynch et al. (2017)	decreased gastric emptying	EDNRB	UBERON_0001008	""
renal	inhibition_acute	HP_0030897	ENSG00000136160	28216264	Lynch et al. (2017)	decreased intestinal transit	EDNRB	UBERON_0001008	""
renal	inhibition_acute	GO_1904057	ENSG00000136160	28216264	Lynch et al. (2017)	decreased pain	EDNRB	UBERON_0001008	""
renal	activation_acute	GO_0008283	ENSG00000136160	28216264	Lynch et al. (2017)	cell proliferation	EDNRB	UBERON_0001008	""
cardiovascular	activation_acute	EFO_0001361	ENSG00000136160	28216264	Lynch et al. (2017)	pulmonary hypertension	EDNRB	UBERON_0004535	""
renal	activation_acute	HP_0031860	ENSG00000136160	28216264	Lynch et al. (2017)	increased then decreased heart rate	EDNRB	UBERON_0001008	""
blood	activation_acute	EFO_0003896	ENSG00000136160	28216264	Lynch et al. (2017)	left ventricular hypertrophy	EDNRB	UBERON_0000178	""
blood	inhibition_acute	HP_0032263	ENSG00000136160	28216264	Lynch et al. (2017)	increased blood pressure	EDNRB	UBERON_0000178	""
blood	inhibition_developmental toxicity	EFO_0005269	ENSG00000136160	28216264	Lynch et al. (2017)	cardiovascular malformations	EDNRB	UBERON_0000178	""
blood	inhibition_developmental toxicity	HP_0000234	ENSG00000136160	28216264	Lynch et al. (2017)	craniofacial abnormalities	EDNRB	UBERON_0000178	""
blood	inhibition_acute	HP_0011037	ENSG00000136160	28216264	Lynch et al. (2017)	decreased urine excretion	EDNRB	UBERON_0000178	""
blood	inhibition_acute	GO_0120061	ENSG00000136160	28216264	Lynch et al. (2017)	decreased gastric emptying	EDNRB	UBERON_0000178	""
blood	inhibition_acute	HP_0030897	ENSG00000136160	28216264	Lynch et al. (2017)	decreased intestinal transit	EDNRB	UBERON_0000178	""
blood	inhibition_acute	GO_1904057	ENSG00000136160	28216264	Lynch et al. (2017)	decreased pain	EDNRB	UBERON_0000178	""
blood	activation_acute	HP_0031860	ENSG00000136160	28216264	Lynch et al. (2017)	increased then decreased heart rate	EDNRB	UBERON_0000178	""
cardiovascular	activation_acute	EFO_0003896	ENSG00000136160	28216264	Lynch et al. (2017)	left ventricular hypertrophy	EDNRB	UBERON_0004535	""
respiratory	activation_acute	EFO_0003896	ENSG00000136160	28216264	Lynch et al. (2017)	left ventricular hypertrophy	EDNRB	UBERON_0001004	""
respiratory	activation_acute	EFO_0001361	ENSG00000136160	28216264	Lynch et al. (2017)	pulmonary hypertension	EDNRB	UBERON_0001004	""
