ensembl_gene_id	tissue	assay_format	assay_format_type	cell_short_name	assay_description	data_source	data_source_reference_link
ENSG00000065989		cell-free	biochemical		"NVS_ENZ_hPDE4A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000146904		cell-free	biochemical		"NVS_ENZ_hEphA1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000121879		cell-free	biochemical		"NVS_ENZ_hPI3Ka is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000101017		primary cell co-culture	cell-based	umbilical vein endothelium and peripheral blood mononuclear cells	"BSK_LPS is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and peripheral blood mononuclear cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000133216		cell-free	biochemical		"NVS_ENZ_hEphB2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000115008		primary cell co-culture	cell-based	umbilical vein endothelium and peripheral blood mononuclear cells	"BSK_LPS is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and peripheral blood mononuclear cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000082701		cell-free	biochemical		"NVS_ENZ_hGSK3b is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000097007		cell-free	biochemical		"NVS_ENZ_hAbl is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000142208		cell-free	biochemical		"NVS_ENZ_hAKT1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000050748		cell-free	biochemical		"NVS_ENZ_hJNK2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169410		cell-free	biochemical		"NVS_ENZ_hPTPN9 is a biochemical, single-readout assay that uses extracted gene-proteins from SF9 in a cell-free assay. Measurements were taken 1.33 hours after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000118515		cell-free	biochemical		"NVS_ENZ_hSGK1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000137869		cell-free	biochemical		"NVS_ADME_hCYP19A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000140465		cell-free	biochemical		"NVS_ADME_hCYP1A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000068903		cell-free	biochemical		"NVS_ENZ_hSIRT2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000137673		cell-free	biochemical		"NVS_ENZ_hMMP7 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138109		cell-free	biochemical		"NVS_ADME_hCYP2C9 is a biochemical, single-readout assay that uses extracted gene-proteins from SF9 in a cell-free assay. Measurements were taken 0.75 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000149554		cell-free	biochemical		"NVS_ENZ_hCHK1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000141551		cell-free	biochemical		"NVS_ENZ_hCK1D is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000134716		cell-free	biochemical		"NVS_ADME_hCYP2J2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000254598		cell-free	biochemical		"NVS_ENZ_hCK2a2b2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169083		cell line	cell-based	MDA-kb2	"TOX21_AR_LUC_MDAkb2_Agonist is a cell-based, single-readout assay that uses MDA-kb2, a human breast cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169083		cell line	cell-based	MDA-kb2	"TOX21_AR_LUC_MDAkb2_Antagonist_Specificity is a cell-based, single-readout assay that uses MDA-kb2, a human breast cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000132170		cell line	cell-based	HEK293	"TOX21_PPARg_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138109		primary cell	cell-based	hepatocyte	"CLD_24hr is a cell-based, multiplexed-readout assay that uses hepatocyte, a human liver primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000120903		tissue-based cell-free	biochemical		"NVS_LGIC_hNNR_NBungSens is a biochemical, single-readout assay that uses extracted gene-proteins from Human neuroblastoma membrane cells in a tissue-based cell-free assay. Measurements were taken 2 hours after chemical dosing in a 48-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000085563		primary cell	cell-based	hepatocyte	"CLD_6hr is a cell-based, multiplexed-readout assay that uses hepatocyte, a human liver primary cell, with measurements taken at 6 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000102468		tissue-based cell-free	biochemical		"NVS_GPCR_h5HT2A is a biochemical, single-readout assay that uses extracted gene-proteins from Human cortex in a tissue-based cell-free assay. Measurements were taken 1.5 hours after chemical dosing in a 48-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000157219		cell-free	biochemical		"NVS_GPCR_h5HT5A is a biochemical, single-readout assay that uses extracted gene-proteins from HEK293 in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000163485		tissue-based cell-free	biochemical		"NVS_GPCR_hAdoRA1 is a biochemical, single-readout assay that uses extracted gene-proteins from Human cortical membranes in a tissue-based cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000184160		cell-free	biochemical		"NVS_GPCR_hAdra2C is a biochemical, single-readout assay that uses extracted gene-proteins from SF9 in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000143257		cell-free	biochemical		"NVS_NR_hCAR_Antagonist is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000091831		cell-free	biochemical		"NVS_NR_hER is a biochemical, single-readout assay that uses extracted gene-proteins from MCF7 in a cell-free assay. Measurements were taken 18 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000134240		primary cell	cell-based	hepatocyte	"CLD_6hr is a cell-based, multiplexed-readout assay that uses hepatocyte, a human liver primary cell, with measurements taken at 6 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169252		cell-free	biochemical		"NVS_GPCR_hAdrb2 is a biochemical, single-readout assay that uses extracted gene-proteins from CHO in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000082175		cell line	cell-based	H295R	"CEETOX_H295R is a cell-based, multiplexed-readout assay that uses H295R, a human adrenal gland cell line, with measurements taken at 48 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000103546		cell-free	biochemical		"NVS_TR_hNET is a biochemical, single-readout assay that uses extracted gene-proteins from CHO in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000140009		cell line	cell-based	HEK293T	"OT_ER_ERbERb_1440  is a cell-based assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000141510		cell line	cell-based	HCT116	"TOX21_p53_BLA_p4 is a cell-based, single-readout assay that uses HCT116, a human intestinal cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000186350		cell line	cell-based	HEK293T	"TOX21_RXR_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000278570		cell line	cell-based	HepG2	"ATG_TRANS2 is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000105641		cell line	NA	HEK293T	"A novel cell line expressing human NIS, hNIS-HEK293T-EPA, was used in a radioactive iodide uptake (RAIU) assay to identify inhibitors of NIS-mediated iodide uptake. A parallel cytoxicity assay (Cell Titer Glo, Promega) was also run in the same cell line."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000177463		cell line	cell-based	HepG2	"ATG_TRANS2 is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000140009		cell line	cell-based	HepG2	"ATG_TRANS2 is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000244067		primary cell	cell-based	hepatocyte	"CLD_48hr is a cell-based, multiplexed-readout assay that uses hepatocyte, a human liver primary cell, with measurements taken at 48 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000107175		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000101412		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000007372		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000185591		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000091831		cell line	cell-based	HepG2	"ATG_TRANS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000111424		cell line	cell-based	HepG2	"ATG_TRANS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000090339		primary cell	cell-based	umbilical vein endothelium	"BSK_3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138755		primary cell	cell-based	umbilical vein endothelium	"BSK_3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000006606		primary cell	cell-based	umbilical vein endothelium	"BSK_4H is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138755		primary cell	cell-based	bronchial epithelial cells	"BSK_BE3C is a cell-based, multiplexed-readout assay that uses bronchial epithelial cell, a human lung primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000011422		primary cell	cell-based	umbilical vein endothelium	"BSK_4H is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000108691		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138755		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000168542		primary cell	cell-based	foreskin fibroblast	"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000180370		cell-free	biochemical		"NVS_ENZ_hPAK2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000108691		primary cell co-culture	cell-based	keratinocytes and foreskin fibroblasts	"BSK_KF3CT is a cell-based, multiplexed-readout assay that uses keratinocytes and foreskin fibroblasts, a human skin primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000186204		cell-free	biochemical		"NVS_ADME_hCYP4F12 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138735		cell-free	biochemical		"NVS_ENZ_hPDE5 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000114200		cell-free	biochemical		"NVS_ENZ_hES is a biochemical, single-readout assay that uses extracted gene-proteins from Human plasma in a cell-free assay. Measurements were taken 0.25 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000010810		cell-free	biochemical		"NVS_ENZ_hFyn is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000087085		cell-free	biochemical		"NVS_ENZ_hAChE is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.33 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000172531		cell-free	biochemical		"NVS_ENZ_hPPP1CA is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1.33 hours after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000110848		primary cell co-culture	cell-based	umbilical vein endothelium and peripheral blood mononuclear cells	"BSK_SAg is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and peripheral blood mononuclear cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000182866		cell-free	biochemical		"NVS_ENZ_hLck is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000254087		cell-free	biochemical		"NVS_ENZ_hLynA is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000138755		primary cell co-culture	cell-based	umbilical vein endothelium and peripheral blood mononuclear cells	"BSK_SAg is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and peripheral blood mononuclear cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000186318		cell-free	biochemical		"NVS_ENZ_hBACE is a biochemical, single-readout assay that uses extracted gene-proteins from SF9 in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000185386		cell-free	biochemical		"NVS_ENZ_hMAPK11 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000196396		cell-free	biochemical		"NVS_ENZ_hPTPN1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1.33 hours after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
