STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
Genomics England Panel App		disease	46XY sex reversal 7	http://www.orpha.net/ORDO/Orphanet_242	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	46XY sex reversal 9	http://www.orpha.net/ORDO/Orphanet_251510	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Abdominal aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004214	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Target safety		disease	abdominal cramps	http://purl.obolibrary.org/obo/HP_0032155	Irene Lopez	2021-11-02 12:00:00
Target safety		disease	abdominal distension	http://purl.obolibrary.org/obo/HP_0003270	Irene Lopez	2021-11-02 12:00:00
PheWAS Catalog		disease	Abdominal hernia	http://purl.obolibrary.org/obo/HP_0004299	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
ClinVar		disease	Abdominal obesity-metabolic syndrome 3	http://www.ebi.ac.uk/efo/EFO_0000195	Gautier Koscielny	2017-06-06 12:00:00
Target safety		disease	abdominal pain	http://purl.obolibrary.org/obo/HP_0002027	Irene Lopez	2021-11-02 12:00:00
Target safety		disease	abdominal pain hypersenstivity	http://purl.obolibrary.org/obo/HP_0002027	Irene Lopez	2021-11-02 12:00:00
Genomics England Panel App		disease	Abetalipoproteinemia	http://www.orpha.net/ORDO/Orphanet_14	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Ablepharon-macrostomia syndrome	http://www.orpha.net/ORDO/Orphanet_920	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Abnormal chest sounds	http://www.ebi.ac.uk/efo/EFO_0010670	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal coagulation profile	http://www.ebi.ac.uk/efo/EFO_0009314	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal electrocardiogram [ECG] [EKG]	http://purl.obolibrary.org/obo/HP_0003115	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Target safety		disease	abnormal face	http://purl.obolibrary.org/obo/HP_0000271	Irene Lopez	2021-11-02 12:00:00
PheWAS Catalog		disease	Abnormal findings examination of lungs	http://purl.obolibrary.org/obo/HP_0002088	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal findings on exam of gastrointestinal tract/ abdominal area	http://purl.obolibrary.org/obo/HP_0011024	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal findings on examination of urine	http://purl.obolibrary.org/obo/HP_0012614	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal findings on mammogram or breast exam	http://www.ebi.ac.uk/efo/EFO_0009483	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal findings on study of brain and/or nervous system	http://purl.obolibrary.org/obo/HP_0000707	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal function study of cardiovascular system	http://purl.obolibrary.org/obo/HP_0001626	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal glucose	http://www.ebi.ac.uk/efo/EFO_0002546	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal heart sounds	http://www.ebi.ac.uk/efo/EFO_1001207	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal involuntary movements	http://purl.obolibrary.org/obo/HP_0100022	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal loss of weight and underweight	http://www.ebi.ac.uk/efo/EFO_0005936	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal mammogram	http://www.ebi.ac.uk/efo/EFO_0009483	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal movement	http://purl.obolibrary.org/obo/HP_0100022	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal Papanicolaou smear of cervix and cervical HPV	http://www.ebi.ac.uk/efo/EFO_0009511	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Target safety		disease	abnormal pulse	http://purl.obolibrary.org/obo/HP_0031860	Irene Lopez	2021-11-02 12:00:00
PheWAS Catalog		disease	Abnormal reflex	http://purl.obolibrary.org/obo/HP_0031826	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal results of function studies	http://www.ebi.ac.uk/efo/EFO_0009628	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal results of function study of kidney	http://purl.obolibrary.org/obo/HP_0000077	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal results of function study of liver	http://purl.obolibrary.org/obo/HP_0001392	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal results of function study of pulmonary system	http://purl.obolibrary.org/obo/HP_0030878	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal results of function study of thyroid	http://www.ebi.ac.uk/efo/EFO_0009628	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal serum enzyme levels	http://www.ebi.ac.uk/efo/EFO_0009826	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal sputum	http://purl.obolibrary.org/obo/HP_0032016	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal tumor markers, elevated CEA or CA 125	http://purl.obolibrary.org/obo/HP_0031030	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormal weight gain	http://www.ebi.ac.uk/efo/EFO_0004566	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormality of gait	http://purl.obolibrary.org/obo/HP_0001288	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Abnormality of red blood cells	http://purl.obolibrary.org/obo/HP_0001877	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
ClinVar		disease	Abruzzo Erickson syndrome	http://www.orpha.net/ORDO/Orphanet_921	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Absent corpus callosum cataract immunodeficiency	http://www.orpha.net/ORDO/Orphanet_1493	Gautier Koscielny	2017-06-06 12:00:00
PheWAS Catalog		disease	Absent or infrequent menstruation	http://purl.obolibrary.org/obo/HP_0000786	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Target safety		disease	abuse liability	http://www.ebi.ac.uk/efo/EFO_0003890	Irene Lopez	2021-11-02 12:00:00
Target safety		disease	abuse potential	http://www.ebi.ac.uk/efo/EFO_0003890	Irene Lopez	2021-11-02 12:00:00
Genomics England Panel App		disease	ACAD9 deficiency	http://www.orpha.net/ORDO/Orphanet_99901	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acatalasemia	http://www.orpha.net/ORDO/Orphanet_926	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acheiropody	http://www.orpha.net/ORDO/Orphanet_931	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Achondrogenesis, type IA	http://www.orpha.net/ORDO/Orphanet_93299	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Achondrogenesis, type II	http://www.orpha.net/ORDO/Orphanet_932	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	Achondroplasia	http://www.orpha.net/ORDO/Orphanet_15	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Achromatopsia	http://www.orpha.net/ORDO/Orphanet_49382	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Achromatopsia-2	http://www.orpha.net/ORDO/Orphanet_49382	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Achromatopsia-3	http://www.orpha.net/ORDO/Orphanet_49382	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Achromatopsia-4	http://www.orpha.net/ORDO/Orphanet_49382	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Acid-base balance disorder	http://purl.obolibrary.org/obo/MONDO_0041261	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Target safety		disease	acidosis	http://www.ebi.ac.uk/efo/EFO_1000014	Irene Lopez	2021-11-02 12:00:00
Target safety		disease	acne	http://www.ebi.ac.uk/efo/EFO_0003894	Irene Lopez	2021-11-02 12:00:00
Genomics England Panel App		disease	Acne inversa, familial, 3	http://purl.obolibrary.org/obo/DOID_2280	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Acquired absence of breast	http://purl.obolibrary.org/obo/HP_0100783	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired deformities of finger	http://purl.obolibrary.org/obo/HP_0001167	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired foot deformities	http://purl.obolibrary.org/obo/HP_0001760	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired hemolytic anemias	http://www.ebi.ac.uk/efo/EFO_0005558	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired hypothyroidism	http://www.ebi.ac.uk/efo/EFO_0004705	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired spondylolisthesis	http://www.ebi.ac.uk/efo/EFO_0007493	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acquired toe deformities	http://purl.obolibrary.org/obo/HP_0001780	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Genomics England Panel App		disease	Acrocallosal syndrome	http://www.orpha.net/ORDO/Orphanet_36	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acrocapitofemoral dysplasia	http://www.orpha.net/ORDO/Orphanet_63446	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acrodermatitis enteropathica  (Disorder of zinc metabolism)	http://www.orpha.net/ORDO/Orphanet_37	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acrodysostosis 1, with or without hormone resistance	http://www.orpha.net/ORDO/Orphanet_950	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acrodysostosis 2, with or without hormone resistance	http://www.orpha.net/ORDO/Orphanet_950	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Acroerythrokeratoderma	http://www.orpha.net/ORDO/Orphanet_87503	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	Acrofacial dysostosis, Cincinnati type	http://www.orpha.net/ORDO/Orphanet_1200	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acromelic frontonasal dysostosis	http://www.orpha.net/ORDO/Orphanet_1827	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Acromesomelic dysplasia Hunter Thompson type	http://www.orpha.net/ORDO/Orphanet_968	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	Acromesomelic dysplasia, Hunter-Thompson type	http://www.orpha.net/ORDO/Orphanet_968	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acromesomelic dysplasia, Maroteaux type	http://www.orpha.net/ORDO/Orphanet_40	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Acromicric dysplasia	http://www.orpha.net/ORDO/Orphanet_969	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Acth-independent macronodular adrenal hyperplasia 2	http://www.orpha.net/ORDO/Orphanet_189427	Gautier Koscielny	2017-06-06 12:00:00
PheWAS Catalog		disease	Actinic keratosis	http://www.ebi.ac.uk/efo/EFO_0002496	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute and chronic tonsillitis	http://purl.obolibrary.org/obo/HP_0011110	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute bronchitis and bronchiolitis	http://www.ebi.ac.uk/efo/EFO_0009661	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute bronchitis and bronchiolitis	http://purl.obolibrary.org/obo/HP_0011950	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute bronchospasm	http://purl.obolibrary.org/obo/HP_0025428	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
CTTV-indication		disease	Acute coronary syndrome	http://purl.obolibrary.org/obo/HP_0001677	Sirarat Sarntivijai	2015-03-24 12:00:00
PheWAS Catalog		disease	Acute cystitis	http://www.ebi.ac.uk/efo/EFO_1000025	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute laryngitis and tracheitis	http://www.ebi.ac.uk/efo/EFO_0007518	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute laryngitis and tracheitis	http://purl.obolibrary.org/obo/MONDO_0004777	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
ClinVar		disease	Acute myeloid leukemia, M6 type	http://www.orpha.net/ORDO/Orphanet_318	Gautier Koscielny	2017-06-06 12:00:00
PheWAS Catalog		disease	Acute osteomyelitis	http://www.ebi.ac.uk/efo/EFO_0003102	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1000652	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute pericarditis	http://www.ebi.ac.uk/efo/EFO_0007427	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute periodontitis	http://www.ebi.ac.uk/efo/EFO_0000649	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute pharyngitis	http://www.ebi.ac.uk/efo/EFO_0009657	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute posthemorrhagic anemia	http://www.ebi.ac.uk/efo/EFO_0004272	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute prostatitis	http://www.ebi.ac.uk/efo/EFO_0003830	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute reaction to stress	http://www.ebi.ac.uk/efo/EFO_0005223	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
CTTV-indication		disease	Acute renal failure	http://purl.obolibrary.org/obo/HP_0001919	Sirarat Sarntivijai	2015-03-24 12:00:00
PheWAS Catalog		disease	Acute renal failure	http://purl.obolibrary.org/obo/MONDO_0002492	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute sinusitis	http://www.ebi.ac.uk/efo/EFO_0007486	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute tonsillitis	http://purl.obolibrary.org/obo/HP_0011110	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute upper respiratory infections of multiple or unspecified sites	http://purl.obolibrary.org/obo/MONDO_0004867	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Acute, but ill-defined cerebrovascular disease	http://www.ebi.ac.uk/efo/EFO_0003763	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Genomics England Panel App		disease	Adams Oliver syndrome 4	http://www.orpha.net/ORDO/Orphanet_974	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Adams-Oliver syndrome 1	http://www.orpha.net/ORDO/Orphanet_974	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	Adams-Oliver syndrome 2	http://www.orpha.net/ORDO/Orphanet_974	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Target safety		disease	addictive psychostimulation	http://www.ebi.ac.uk/efo/EFO_0003890	Irene Lopez	2021-11-02 12:00:00
Genomics England Panel App		disease	Adenine phosphoribosyltransferase deficiency	http://www.orpha.net/ORDO/Orphanet_976	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Adjustment reaction	http://purl.obolibrary.org/obo/MONDO_0003265	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adrenal cortical steroids causing adverse effects in therapeutic use	http://www.ebi.ac.uk/efo/EFO_0009658	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adrenal hyperfunction	http://www.ebi.ac.uk/efo/EFO_1000797	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adrenal hypofunction	http://www.ebi.ac.uk/efo/EFO_0009491	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Genomics England Panel App		disease	Adrenal hypoplasia, congenital	http://www.orpha.net/ORDO/Orphanet_95702	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
CTTV-indication		disease	Adrenal insufficiency, primary, Addison's	http://purl.obolibrary.org/obo/HP_0008207	Sirarat Sarntivijai	2015-03-24 12:00:00
Genomics England Panel App		disease	Adrenocortical carcinoma	http://www.ebi.ac.uk/efo/EFO_0003093	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Target safety		disease	adrenocorticotropic hormone release	http://purl.obolibrary.org/obo/HP_0003154	Irene Lopez	2021-11-02 12:00:00
Genomics England Panel App		disease	Adrenoleukodystrophy	http://www.orpha.net/ORDO/Orphanet_43	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Adult onset ataxia with oculomotor apraxia	http://www.orpha.net/ORDO/Orphanet_1168	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	ADULT syndrome	http://www.orpha.net/ORDO/Orphanet_978	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
PheWAS Catalog		disease	Adverse drug events and drug allergies	http://www.ebi.ac.uk/efo/EFO_0009482	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adverse drug events and drug allergies	http://www.ebi.ac.uk/efo/EFO_0009658	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adverse effects of antibacterials (not penicillins)	http://www.ebi.ac.uk/efo/EFO_0009658	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adverse effects of sedatives or other central nervous system depressants and anesthetics	http://www.ebi.ac.uk/efo/EFO_0009658	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
PheWAS Catalog		disease	Adverse reaction to serum or vaccine	http://www.ebi.ac.uk/efo/EFO_0009658	Eliseo Papa, Asier Gonzalez	2020-04-07 12:00:00
Genomics England Panel App		disease	Agammaglobulinemia 1	http://www.orpha.net/ORDO/Orphanet_229717	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Agammaglobulinemia 2, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 2, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_33110	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 3, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 3, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_33110	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	Agammaglobulinemia 4	http://www.orpha.net/ORDO/Orphanet_229717	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	Agammaglobulinemia 4, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 4, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_33110	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 5, autosomal dominant	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 5, autosomal dominant	http://www.orpha.net/ORDO/Orphanet_33110	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 6, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 6, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_33110	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	Agammaglobulinemia 7, autosomal recessive	http://www.orpha.net/ORDO/Orphanet_229717	Gautier Koscielny	2017-06-06 12:00:00
