BIOENTITY	SEMANTIC_TAG	STUDY	ANNOTATOR	ANNOTATION_DATE
23075#HPV 16 Definition II seropositivity for Human Papillomavirus type-16	EFO_0004510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40001#A41#A41 Other septicaemia	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40001#A419#A41.9 Septicaemia| unspecified	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40001#BlockA30-A49#A30-A49 Other bacterial diseases	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40001#ChapterI#Chapter I Certain infectious and parasitic diseases	EFO_0001067	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#A41#A41 Other septicaemia	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#A419#A41.9 Septicaemia| unspecified	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#A49#A49 Bacterial infection of unspecified site	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#BlockA00-A09#A00-A09 Intestinal infectious diseases	MONDO_0000916	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#BlockA30-A49#A30-A49 Other bacterial diseases	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
40002#ChapterI#Chapter I Certain infectious and parasitic diseases	EFO_0001067	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A01 (typhoid and paratyphoid fevers)	EFO_0006789	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A02 (other salmonella infections)	EFO_1001418	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A03 (shigellosis)	EFO_0005585	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A04 (other bacterial intestinal infections)	EFO_0000771|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A05 (other bacterial foodborne intoxications)	EFO_1001272	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A06 (amoebiasis)	EFO_0007144	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A07 (other protozoal intestinal diseases)	MONDO_0002428	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A08 (viral and other specified intestinal infections)	EFO_0000763|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A09 (diarrhoea and gastro-enteritis of presumed infectious origin)	EFO_1001463	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A15 (respiratory tuberculosis, bacteriologically and histologically confirmed)	Orphanet_3389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A16 (respiratory tuberculosis, not confirmed bacteriologically or histologically)	Orphanet_3389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A18 (tuberculosis of other organs)	Orphanet_3389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A31 (infection due to other mycobacteria)	EFO_0009429	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A35 (other tetanus)	EFO_0005593	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A36 (diphtheria)	EFO_0005549	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A37 (whooping cough)	EFO_0000650	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A38 (scarlet fever)	EFO_0007477	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A39 (meningococcal infection)	EFO_0004249	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A40 (streptococcal septicaemia)	EFO_1002024	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A41 (other septicaemia)	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A42 (actinomycosis)	EFO_0007128	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A46 (erysipelas)	EFO_1001462	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A48 (other bacterial diseases, not elsewhere classified)	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A49 (bacterial infection of unspecified site)	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A54 (gonococcal infection)	EFO_0000544	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A56 (other sexually transmitted chlamydial diseases)	EFO_0003955	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A59 (trichomoniasis)	EFO_0007521	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A60 (anogenital herpesviral [herpes simplex] infections)	EFO_1002022	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A63 (other predominantly sexually transmitted diseases, not elsewhere classified)	EFO_0003955	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A69 (other spirochaetal infections)	EFO_0009567	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A80 (acute poliomyelitis)	EFO_0007450	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A86 (unspecified viral encephalitis)	EFO_0007538	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A87 (viral meningitis)	EFO_1001236	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of A95 (yellow fever)	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B00 (herpesviral [herpes simplex] infections)	EFO_1002022	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B01 (varicella [chickenpox])	EFO_0007204	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B02 (zoster [herpes zoster])	EFO_0006510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B05 (measles)	EFO_1002025	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B06 (rubella [german measles])	EFO_1002026	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B07 (viral warts)	EFO_0009662	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B08 (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B15 (acute hepatitis a)	EFO_0007305	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B16 (acute hepatitis b)	EFO_0004197	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B17 (other acute viral hepatitis)	EFO_0004196	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B18 (chronic viral hepatitis)	EFO_0004196	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B19 (unspecified viral hepatitis)	HP_0012115	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B20 (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)	EFO_0000764	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B24 (unspecified human immunodeficiency virus [hiv] disease)	EFO_0000764	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B25 (cytomegaloviral disease)	EFO_0001062	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B26 (mumps)	EFO_0007383	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B27 (infectious mononucleosis)	EFO_0007326	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B30 (viral conjunctivitis)	EFO_0008571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B33 (other viral diseases, not elsewhere classified)	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B34 (viral infection of unspecified site)	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B35 (dermatophytosis)	MONDO_0004678	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B36 (other superficial mycoses)	MONDO_0015821	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B37 (candidiasis)	MONDO_0002026	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B44 (aspergillosis)	EFO_0007157	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B49 (unspecified mycosis)	EFO_1001051	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B50 (plasmodium falciparum malaria)	EFO_0007444	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B54 (unspecified malaria)	EFO_0001068	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B59 (pneumocystosis)	EFO_0007448	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B65 (schistosomiasis [bilharziasis])	EFO_1001475	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B80 (enterobiasis)	EFO_0007254	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B82 (unspecified intestinal parasitism)	EFO_0009561	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B83 (other helminthiases)	EFO_1001342	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B85 (pediculosis and phthiriasis)	MONDO_0003472	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B86 (scabies)	MONDO_0021201	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B88 (other infestations)	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B91 (sequelae of poliomyelitis)	EFO_0007450	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B94 (sequelae of other and unspecified infectious and parasitic diseases)	EFO_0000544	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B95 (streptococcus and staphylococcus as the cause of diseases classified to other chapters)	EFO_1001476	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B96 (other bacterial agents as the cause of diseases classified to other chapters)	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B97 (viral agents as the cause of diseases classified to other chapters)	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B98 (other specified infectious agents as the cause of diseases classified to other chapters)	EFO_0000544	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Source of report of B99 (other and unspecified infectious diseases)	EFO_0000544	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A02#A02 Other Salmonella infections	EFO_1001418	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A020#A02.0 Salmonella gastro-enteritis	EFO_1001418	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A04#A04 Other bacterial intestinal infections	EFO_0000771|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A045#A04.5 Campylobacter enteritis	EFO_0007190	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A047#A04.7 Enterocolitis due to Clostridium difficile	EFO_0009130	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A048#A04.8 Other specified bacterial intestinal infections	MONDO_0000916	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A07#A07 Other protozoal intestinal diseases	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A08#A08 Viral and other specified intestinal infections	EFO_0000763|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A081#A08.1 Acute gastro-enteropathy due to Norwalk agent	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A084#A08.4 Viral intestinal infection| unspecified	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A09#A09 Diarrhoea and gastro-enteritis of presumed infectious origin	EFO_1001463	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A090#A09.0 Other and unspecified gastroenteritis and colitis of infectious origin	EFO_1001463|EFO_0003872	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A099#A09.9 Gastroenteritis and colitis of unspecified origin	EFO_1001463|EFO_0003872	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A39#A39 Meningococcal infection	EFO_0004249	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A40#A40 Streptococcal septicaemia	EFO_1001476	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A403#A40.3 Septicaemia due to Streptococcus pneumoniae	EFO_0007499	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A408#A40.8 Other streptococcal septicaemia	EFO_1001476	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A41#A41 Other septicaemia	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A410#A41.0 Septicaemia due to Staphylococcus aureus	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A411#A41.1 Septicaemia due to other specified staphylococcus	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A415#A41.5 Septicaemia due to other Gram-negative organisms	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A418#A41.8 Other specified septicaemia	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A419#A41.9 Septicaemia| unspecified	EFO_0003033	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A46#A46 Erysipelas	EFO_1001462	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A48#A48 Other bacterial diseases| not elsewhere classified	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A481#A48.1 Legionnaires' disease	MONDO_0012057	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A49#A49 Bacterial infection of unspecified site	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A490#A49.0 Staphylococcal infection| unspecified	EFO_1001849	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A491#A49.1 Streptococcal infection| unspecified	EFO_1001849	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A498#A49.8 Other bacterial infections of unspecified site	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A499#A49.9 Bacterial infection| unspecified	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A63#A63 Other predominantly sexually transmitted diseases| not elsewhere classified	EFO_0003955	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A630#A63.0 Anogenital (venereal) warts	EFO_1002022	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A69#A69 Other spirochaetal infections	EFO_0009567	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A86#A86 Unspecified viral encephalitis	EFO_0007538	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A87#A87 Viral meningitis	EFO_1001236	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#A879#A87.9 Viral meningitis| unspecified	EFO_1001236	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B00#B00 Herpesviral [herpes simplex] infections	EFO_1002022	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B01#B01 Varicella [chickenpox]	EFO_0007204	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B02#B02 Zoster [herpes zoster]	EFO_0006510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B022#B02.2 Zoster with other nervous system involvement	EFO_0006510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B023#B02.3 Zoster ocular disease	EFO_0006510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B029#B02.9 Zoster without complication	EFO_0006510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B07#B07 Viral warts	EFO_0009662	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B08#B08 Other viral infections characterised by skin and mucous membrane lesions| not elsewhere classified	EFO_0008598	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B081#B08.1 Molluscum contagiosum	EFO_0007375	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B17#B17 Other acute viral hepatitis	EFO_0004196	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B18#B18 Chronic viral hepatitis	EFO_0007540	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B182#B18.2 Chronic viral hepatitis C	EFO_0004220	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B25#B25 Cytomegaloviral disease	EFO_0001062	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B34#B34 Viral infection of unspecified site	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B349#B34.9 Viral infection| unspecified	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B35#B35 Dermatophytosis	MONDO_0004678	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B37#B37 Candidiasis	EFO_1001283	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B370#B37.0 Candidal stomatitis	EFO_0009688	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B378#B37.8 Candidiasis of other sites	EFO_0007406	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B379#B37.9 Candidiasis| unspecified	EFO_1001283	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B44#B44 Aspergillosis	EFO_0007157	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B441#B44.1 Other pulmonary aspergillosis	EFO_0007157	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B50#B50 Plasmodium falciparum malaria	EFO_0007444	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B59#B59 Pneumocystosis	EFO_0007448	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#B99#B99 Other and unspecified infectious diseases	EFO_0005741	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA00-A09#A00-A09 Intestinal infectious diseases	MONDO_0000916	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA15-A19#A15-A19 Tuberculosis	Orphanet_3389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA30-A49#A30-A49 Other bacterial diseases	EFO_0000771	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA50-A64#A50-A64 Infections with a predominantly sexual mode of transmission	MONDO_0021681	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA65-A69#A65-A69 Other spirochaetal diseases	EFO_0005741	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockA80-A89#A80-A89 Viral infections of the central nervous system	EFO_1001456	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB00-B09#B00-B09 Viral infections characterized by skin and mucous membrane lesions	EFO_0000763	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB15-B19#B15-B19 Viral hepatitis	EFO_0004196	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB20-B24#B20-B24 Human immunodeficiency virus [HIV] disease	EFO_0000764	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB25-B34#B25-B34 Other viral diseases	EFO_0010125	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB35-B49#B35-B49 Mycoses	MONDO_0002312	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB50-B64#B50-B64 Protozoal diseases	MONDO_0002428	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB65-B83#B65-B83 Helminthiases	EFO_1001342	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#BlockB99-B99#B99-B99 Other infectious diseases	EFO_0005741	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41202#ChapterI#Chapter I Certain infectious and parasitic diseases	EFO_0001067	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1439#hiv|aids	EFO_0000764|EFO_0000765	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1440#tuberculosis (tb)	Orphanet_3389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1441#malaria	EFO_0001068	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1442#helicobacter pylori	EFO_1000961	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1566#mrsa | methicillin resistant staphylococcus aureus	EFO_0008555	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1567#infectious mononucleosis | glandular fever | epstein barr virus (ebv)	EFO_0000769|EFO_0007326	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1568#measles | morbillivirus	EFO_1002025	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1569#mumps | epidemic parotitis	EFO_0007383|EFO_0007423	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1570#rubella | german measles	EFO_1002026	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1571#chickenpox	EFO_0007204	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1572#whooping cough | pertussis	EFO_0000650	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1573#shingles	EFO_0003106	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1574#diphtheria	EFO_0005549	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1575#herpes simplex	EFO_1002022	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1657#septicaemia | sepsis	HP_0100806	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1674#varicella zoster virus	EFO_0006509	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
20002#1677#scarlet fever | scarlatina	EFO_0007477	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A02#A02 Other Salmonella infections	EFO_1001418	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A020#A02.0 Salmonella gastro-enteritis	EFO_1001418	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A04#A04 Other bacterial intestinal infections	EFO_0000771|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A045#A04.5 Campylobacter enteritis	EFO_0007190	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A047#A04.7 Enterocolitis due to Clostridium difficile	EFO_0009130	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A048#A04.8 Other specified bacterial intestinal infections	MONDO_0000916	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A07#A07 Other protozoal intestinal diseases	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A071#A07.1 Giardiasis [lambliasis]	MONDO_0002428	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A08#A08 Viral and other specified intestinal infections	EFO_0000763|EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A081#A08.1 Acute gastro-enteropathy due to Norwalk agent	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A083#A08.3 Other viral enteritis	MONDO_0043579	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A084#A08.4 Viral intestinal infection| unspecified	EFO_0009431	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#A09#A09 Diarrhoea and gastro-enteritis of presumed infectious origin	EFO_1001463	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
