Phewas_string	EFO_id	EFO_label
Cardiac rhythm regulators causing adverse effects in therapeutic use	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effects
Cardiac shunt/ heart septal defect	http://www.orpha.net/ORDO/Orphanet_1480	Ventricular septal defect
Cardiac shunt/ heart septal defect	http://purl.obolibrary.org/obo/HP_0001693	Cardiac shunt 
Cardiomegaly	http://www.ebi.ac.uk/efo/EFO_0002503	cardiac hypertrophy
Cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy
Carditis	http://purl.obolibrary.org/obo/MONDO_0024636	Carditis
Cataract	http://www.ebi.ac.uk/efo/EFO_0001059	cataract
Celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	celiac disease
Celiac or tropical sprue	http://www.ebi.ac.uk/efo/EFO_0001060	celiac disease
Celiac or tropical sprue	http://purl.obolibrary.org/obo/MONDO_0001078	tropical sprue
Cellulitis and abscess of arm/hand	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of arm/hand	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Cellulitis and abscess of face/neck	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of face/neck	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Cellulitis and abscess of fingers/toes	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of fingers/toes	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Cellulitis and abscess of foot, toe	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of foot, toe	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Cellulitis and abscess of leg, except foot	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of leg, except foot	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Cellulitis and abscess of trunk	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis
Cellulitis and abscess of trunk	http://www.ebi.ac.uk/efo/EFO_0003030	abscess
Central/nonobstroctive sleep apnea	 http://purl.obolibrary.org/obo/MONDO_0004731	central sleep apnea syndrome
Cerebral aneurysm	http://www.ebi.ac.uk/efo/EFO_0003870	brain aneurysm
Cerebral artery occlusion, with cerebral infarction	http://purl.obolibrary.org/obo/HP_0025324	Arterial occlusion 
Cerebral artery occlusion, with cerebral infarction	http://purl.obolibrary.org/obo/MONDO_0002679	cerebral infarction
Cerebral atherosclerosis	http://www.ebi.ac.uk/efo/EFO_1000860	cerebral atherosclerosis
Cerebral edema and compression of brain	http://www.ebi.ac.uk/efo/EFO_1000845	brain edema
Cerebral edema and compression of brain	http://purl.obolibrary.org/obo/MONDO_0001291	brain compression
Cerebral ischemia	http://purl.obolibrary.org/obo/HP_0002637	Cerebral ischemia
Cerebrovascular disease	http://www.ebi.ac.uk/efo/EFO_0003763	cerebrovascular disorder
Certain early complications of trauma or procedure	http://www.ebi.ac.uk/efo/EFO_0009888	trauma complication
Certain early complications of trauma or procedure	http://www.ebi.ac.uk/efo/EFO_0009518	complication
Cervical cancer	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer
Cervical cancer and dysplasia	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer
Cervical cancer and dysplasia	http://www.ebi.ac.uk/efo/EFO_1000910	dysplasia of cervix
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	http://www.ebi.ac.uk/efo/EFO_1000165	Cervical Glandular Intraepithelial Neoplasia
Cervical radiculitis	http://purl.obolibrary.org/obo/MONDO_0021765	radiculitis
Cervicitis and endocervicitis	http://purl.obolibrary.org/obo/HP_0030160	Cervicitis
